[2025-02-12_11-29-04-497] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_11-29-04-497.wav
[2025-02-12_11-32-00-029] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-00-029.wav
[2025-02-12_11-32-05-043] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-05-043.wav
[2025-02-12_11-32-10-056] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-10-056.wav
[2025-02-12_11-32-15-091] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-15-091.wav
[2025-02-12_11-32-20-104] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-20-104.wav
[2025-02-12_11-32-25-118] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-25-118.wav
[2025-02-12_11-32-30-131] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-30-131.wav
[2025-02-12_11-32-35-144] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-35-144.wav
[2025-02-12_11-32-40-158] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-40-158.wav
[2025-02-12_11-32-45-171] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-45-171.wav
[2025-02-12_11-32-50-185] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-50-185.wav
[2025-02-12_11-32-55-198] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-32-55-198.wav
[2025-02-12_11-33-00-212] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-33-00-212.wav
[2025-02-12_11-33-05-246] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-33-05-246.wav
[2025-02-12_11-33-10-260] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-33-10-260.wav
[2025-02-12_11-34-00-080] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_11-34-00-080.wav
[2025-02-12_11-34-05-093] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-34-05-093.wav
[2025-02-12_11-34-10-104] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-34-10-104.wav
[2025-02-12_11-34-15-118] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-34-15-118.wav
[2025-02-12_11-34-20-131] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-34-20-131.wav
[2025-02-12_11-34-25-143] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-34-25-143.wav
[2025-02-12_11-34-30-156] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-34-30-156.wav
[2025-02-12_11-34-35-169] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-34-35-169.wav
[2025-02-12_11-34-40-182] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-34-40-182.wav
[2025-02-12_11-35-35-585] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-35-35-585.wav
[2025-02-12_11-35-40-661] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_11-35-40-661.wav
[2025-02-12_11-35-45-695] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-35-45-695.wav
[2025-02-12_11-35-50-773] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-35-50-773.wav
[2025-02-12_11-35-55-807] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-35-55-807.wav
[2025-02-12_11-36-00-884] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-00-884.wav
[2025-02-12_11-36-05-918] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-05-918.wav
[2025-02-12_11-36-10-995] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-10-995.wav
[2025-02-12_11-36-16-029] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-16-029.wav
[2025-02-12_11-36-21-107] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-21-107.wav
[2025-02-12_11-36-26-141] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-26-141.wav
[2025-02-12_11-36-31-217] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-31-217.wav
[2025-02-12_11-36-36-252] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-36-252.wav
[2025-02-12_11-36-41-330] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-41-330.wav
[2025-02-12_11-36-46-363] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-46-363.wav
[2025-02-12_11-36-51-441] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-51-441.wav
[2025-02-12_11-36-56-475] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-36-56-475.wav
[2025-02-12_11-37-01-552] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-01-552.wav
[2025-02-12_11-37-06-586] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-06-586.wav
[2025-02-12_11-37-11-663] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-11-663.wav
[2025-02-12_11-37-16-698] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-16-698.wav
[2025-02-12_11-37-21-774] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-21-774.wav
[2025-02-12_11-37-26-809] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-26-809.wav
[2025-02-12_11-37-31-886] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-31-886.wav
[2025-02-12_11-37-36-920] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-36-920.wav
[2025-02-12_11-37-41-997] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-41-997.wav
[2025-02-12_11-37-47-032] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-47-032.wav
[2025-02-12_11-37-52-109] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-52-109.wav
[2025-02-12_11-37-57-143] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-37-57-143.wav
[2025-02-12_11-38-02-220] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-02-220.wav
[2025-02-12_11-38-07-255] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-07-255.wav
[2025-02-12_11-38-12-332] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-12-332.wav
[2025-02-12_11-38-17-366] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-17-366.wav
[2025-02-12_11-38-22-443] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-22-443.wav
[2025-02-12_11-38-27-478] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-27-478.wav
[2025-02-12_11-38-32-554] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-32-554.wav
[2025-02-12_11-38-37-588] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-37-588.wav
[2025-02-12_11-38-42-666] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-42-666.wav
[2025-02-12_11-38-47-700] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-47-700.wav
[2025-02-12_11-38-52-778] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-52-778.wav
[2025-02-12_11-38-57-812] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-38-57-812.wav
[2025-02-12_11-39-02-889] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-02-889.wav
[2025-02-12_11-39-07-923] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-07-923.wav
[2025-02-12_11-39-13-001] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-13-001.wav
[2025-02-12_11-39-18-035] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-18-035.wav
[2025-02-12_11-39-23-112] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-23-112.wav
[2025-02-12_11-39-28-146] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-28-146.wav
[2025-02-12_11-39-33-223] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-33-223.wav
[2025-02-12_11-39-38-258] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-38-258.wav
[2025-02-12_11-39-43-335] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-43-335.wav
[2025-02-12_11-39-48-370] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-48-370.wav
[2025-02-12_11-39-53-446] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-53-446.wav
[2025-02-12_11-39-58-481] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-39-58-481.wav
[2025-02-12_11-40-03-558] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-40-03-558.wav
[2025-02-12_11-40-08-592] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-40-08-592.wav
[2025-02-12_11-40-13-669] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-40-13-669.wav
[2025-02-12_11-40-18-706] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-40-18-706.wav
[2025-02-12_11-40-23-781] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-40-23-781.wav
[2025-02-12_11-40-28-815] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-40-28-815.wav
[2025-02-12_11-40-33-892] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-40-33-892.wav
[2025-02-12_11-40-38-927] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-40-38-927.wav
[2025-02-12_11-40-44-005] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-40-44-005.wav
[2025-02-12_11-40-49-039] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-40-49-039.wav
[2025-02-12_11-40-54-116] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-40-54-116.wav
[2025-02-12_11-43-27-284] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-43-27-284.wav
[2025-02-12_11-43-32-361] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-43-32-361.wav
[2025-02-12_11-43-37-395] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_11-43-37-395.wav
[2025-02-12_11-43-42-472] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-43-42-472.wav
[2025-02-12_11-43-47-507] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-43-47-507.wav
[2025-02-12_11-43-52-584] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-43-52-584.wav
[2025-02-12_11-43-57-619] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-43-57-619.wav
[2025-02-12_11-44-02-696] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-02-696.wav
[2025-02-12_11-44-07-730] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-07-730.wav
[2025-02-12_11-44-12-807] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-12-807.wav
[2025-02-12_11-44-17-842] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-17-842.wav
[2025-02-12_11-44-22-919] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-22-919.wav
[2025-02-12_11-44-27-954] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-27-954.wav
[2025-02-12_11-44-33-031] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-33-031.wav
[2025-02-12_11-44-38-066] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-38-066.wav
[2025-02-12_11-44-43-143] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-43-143.wav
[2025-02-12_11-44-48-177] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-48-177.wav
[2025-02-12_11-44-53-254] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-53-254.wav
[2025-02-12_11-44-58-289] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-44-58-289.wav
[2025-02-12_11-45-03-367] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-03-367.wav
[2025-02-12_11-45-08-401] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-08-401.wav
[2025-02-12_11-45-13-477] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-13-477.wav
[2025-02-12_11-45-18-513] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-18-513.wav
[2025-02-12_11-45-23-590] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-23-590.wav
[2025-02-12_11-45-28-624] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-28-624.wav
[2025-02-12_11-45-33-701] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-33-701.wav
[2025-02-12_11-45-38-736] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-38-736.wav
[2025-02-12_11-45-43-813] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-43-813.wav
[2025-02-12_11-45-48-848] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-48-848.wav
[2025-02-12_11-45-53-925] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-53-925.wav
[2025-02-12_11-45-58-960] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-45-58-960.wav
[2025-02-12_11-46-04-037] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-04-037.wav
[2025-02-12_11-46-09-071] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-09-071.wav
[2025-02-12_11-46-14-148] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-14-148.wav
[2025-02-12_11-46-19-183] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-19-183.wav
[2025-02-12_11-46-24-260] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-24-260.wav
[2025-02-12_11-46-29-295] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-29-295.wav
[2025-02-12_11-46-34-372] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-34-372.wav
[2025-02-12_11-46-39-407] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-39-407.wav
[2025-02-12_11-46-44-484] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-44-484.wav
[2025-02-12_11-46-49-519] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-49-519.wav
[2025-02-12_11-46-54-596] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-54-596.wav
[2025-02-12_11-46-59-630] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-46-59-630.wav
[2025-02-12_11-47-04-707] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-47-04-707.wav
[2025-02-12_11-47-09-742] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-47-09-742.wav
[2025-02-12_11-47-14-819] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-47-14-819.wav
[2025-02-12_11-47-19-854] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-47-19-854.wav
[2025-02-12_11-47-24-931] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-47-24-931.wav
[2025-02-12_11-47-29-966] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-47-29-966.wav
[2025-02-12_11-47-35-043] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-47-35-043.wav
[2025-02-12_11-47-40-078] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-47-40-078.wav
[2025-02-12_11-47-45-155] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-47-45-155.wav
[2025-02-12_11-47-50-189] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-47-50-189.wav
[2025-02-12_11-47-55-267] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-47-55-267.wav
[2025-02-12_11-48-00-301] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-48-00-301.wav
[2025-02-12_11-48-05-378] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-48-05-378.wav
[2025-02-12_11-48-10-413] Confidence: 0.90 | Text: 1962 | Audio: audio_logs/speech_2025-02-12_11-48-10-413.wav
[2025-02-12_11-48-15-490] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-48-15-490.wav
[2025-02-12_11-48-20-525] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-48-20-525.wav
[2025-02-12_11-48-25-602] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-48-25-602.wav
[2025-02-12_11-48-30-637] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-48-30-637.wav
[2025-02-12_11-48-35-714] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-48-35-714.wav
[2025-02-12_11-48-40-749] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-48-40-749.wav
[2025-02-12_11-48-45-826] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-48-45-826.wav
[2025-02-12_11-48-50-860] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-48-50-860.wav
[2025-02-12_11-48-55-938] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-48-55-938.wav
[2025-02-12_11-49-00-972] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-00-972.wav
[2025-02-12_11-49-06-049] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-06-049.wav
