[2025-02-12_16-11-52-425] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-11-52-425.wav | Frequencies: []
[2025-02-12_16-18-06-628] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-06-628.wav | Frequencies: [-0.36165384302414944, 0.36165384302414944, 0.5786461488386391, -0.5786461488386391, 0.21699230581448964, -0.21699230581448964, -0.7233076860482989, 0.7233076860482989, -0.28932307441931954, 0.28932307441931954]
[2025-02-12_16-18-11-641] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-11-641.wav | Frequencies: [-0.7233076860482989, 0.7233076860482989, -1.0126307604676184, 1.0126307604676184, -0.4339846116289793, 0.4339846116289793, 0.36165384302414944, -0.36165384302414944, -0.5063153802338092, 0.5063153802338092]
[2025-02-12_16-18-16-676] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-16-676.wav | Frequencies: [0.650976917443469, -0.650976917443469, -0.36165384302414944, 0.36165384302414944, -1.0849615290724484, 1.0849615290724484, -0.7956384546531288, 0.7956384546531288, -0.5063153802338092, 0.5063153802338092]
[2025-02-12_16-18-21-689] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-21-689.wav | Frequencies: [-0.5063153802338092, 0.5063153802338092, -0.5786461488386391, 0.5786461488386391, -0.14466153720965977, 0.14466153720965977, -0.21699230581448964, 0.21699230581448964, -0.36165384302414944, 0.36165384302414944]
[2025-02-12_16-18-26-703] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-26-703.wav | Frequencies: [-0.5063153802338092, 0.5063153802338092, -0.5786461488386391, 0.5786461488386391, -0.7956384546531288, 0.7956384546531288, -0.4339846116289793, 0.4339846116289793, -0.28932307441931954, 0.28932307441931954]
[2025-02-12_16-18-31-716] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-31-716.wav | Frequencies: [0.7233076860482989, -0.7233076860482989, 0.5063153802338092, -0.5063153802338092, -0.4339846116289793, 0.4339846116289793, -0.21699230581448964, 0.21699230581448964, -0.36165384302414944, 0.36165384302414944]
[2025-02-12_16-18-36-730] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-36-730.wav | Frequencies: [0.7233076860482989, -0.7233076860482989, -0.21699230581448964, 0.21699230581448964, -0.5786461488386391, 0.5786461488386391, -0.5063153802338092, 0.5063153802338092, 0.4339846116289793, -0.4339846116289793]
[2025-02-12_16-18-41-744] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-41-744.wav | Frequencies: [-0.7956384546531288, 0.7956384546531288, -0.14466153720965977, 0.14466153720965977, 0.5786461488386391, -0.5786461488386391, -0.5063153802338092, 0.5063153802338092, -0.4339846116289793, 0.4339846116289793]
[2025-02-12_16-18-46-757] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-46-757.wav | Frequencies: [-0.7233076860482989, 0.7233076860482989, -0.4339846116289793, 0.4339846116289793, 0.36165384302414944, -0.36165384302414944, 0.5063153802338092, -0.5063153802338092, 0.5786461488386391, -0.5786461488386391]
[2025-02-12_16-18-51-771] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-51-771.wav | Frequencies: [-0.650976917443469, 0.650976917443469, -0.5786461488386391, 0.5786461488386391, -0.36165384302414944, 0.36165384302414944, 0.28932307441931954, -0.28932307441931954, -0.4339846116289793, 0.4339846116289793]
[2025-02-12_16-18-56-784] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-56-784.wav | Frequencies: [-0.28932307441931954, 0.28932307441931954, 0.650976917443469, -0.650976917443469, -0.5063153802338092, 0.5063153802338092, -0.5786461488386391, 0.5786461488386391, -0.4339846116289793, 0.4339846116289793]
[2025-02-12_16-19-01-798] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-01-798.wav | Frequencies: [-0.28932307441931954, 0.28932307441931954, 0.21699230581448964, -0.21699230581448964, -0.5063153802338092, 0.5063153802338092, -0.650976917443469, 0.650976917443469, -0.4339846116289793, 0.4339846116289793]
[2025-02-12_16-19-06-832] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-06-832.wav | Frequencies: [-0.7956384546531288, 0.7956384546531288, -0.28932307441931954, 0.28932307441931954, 0.21699230581448964, -0.21699230581448964, -0.7233076860482989, 0.7233076860482989, 0.5786461488386391, -0.5786461488386391]
[2025-02-12_16-19-11-846] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-11-846.wav | Frequencies: [0.5063153802338092, -0.5063153802338092, -0.4339846116289793, 0.4339846116289793, 0.28932307441931954, -0.28932307441931954, 0.21699230581448964, -0.21699230581448964, 0.36165384302414944, -0.36165384302414944]
[2025-02-12_16-19-16-860] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-16-860.wav | Frequencies: [0.4339846116289793, -0.4339846116289793, -0.21699230581448964, 0.21699230581448964, -0.5063153802338092, 0.5063153802338092, 0.7956384546531288, -0.7956384546531288, -0.36165384302414944, 0.36165384302414944]
[2025-02-12_16-19-21-873] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-21-873.wav | Frequencies: [-0.21699230581448964, 0.21699230581448964, -0.650976917443469, 0.650976917443469, -0.28932307441931954, 0.28932307441931954, -0.7956384546531288, 0.7956384546531288, 0.5786461488386391, -0.5786461488386391]
[2025-02-12_16-19-26-887] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-26-887.wav | Frequencies: [0.650976917443469, -0.650976917443469, 0.5786461488386391, -0.5786461488386391, 0.5063153802338092, -0.5063153802338092, -0.21699230581448964, 0.21699230581448964, -0.28932307441931954, 0.28932307441931954]
[2025-02-12_16-19-31-900] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-31-900.wav | Frequencies: [0.36165384302414944, -0.36165384302414944, -0.4339846116289793, 0.4339846116289793, -0.8679692232579586, 0.8679692232579586, 0.28932307441931954, -0.28932307441931954, -0.14466153720965977, 0.14466153720965977]
[2025-02-12_16-19-36-914] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-36-914.wav | Frequencies: [-1.1572922976772781, 1.1572922976772781, -1.3742846034917677, 1.3742846034917677, -0.7956384546531288, 0.7956384546531288, -0.4339846116289793, 0.4339846116289793, -0.28932307441931954, 0.28932307441931954]
[2025-02-12_16-19-41-927] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-41-927.wav | Frequencies: [0.8679692232579586, -0.8679692232579586, 0.14466153720965977, -0.14466153720965977, 0.28932307441931954, -0.28932307441931954, -0.5063153802338092, 0.5063153802338092, 0.4339846116289793, -0.4339846116289793]
[2025-02-12_16-19-46-942] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-46-942.wav | Frequencies: [0.5786461488386391, -0.5786461488386391, -0.8679692232579586, 0.8679692232579586, -0.36165384302414944, 0.36165384302414944, -0.4339846116289793, 0.4339846116289793, -0.28932307441931954, 0.28932307441931954]
[2025-02-12_16-19-51-955] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-51-955.wav | Frequencies: [-0.14466153720965977, 0.7233076860482989, -0.7233076860482989, 0.0, -0.4339846116289793, 0.4339846116289793, -0.650976917443469, 0.650976917443469, -0.36165384302414944, 0.36165384302414944]
[2025-02-12_16-19-56-990] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-19-56-990.wav | Frequencies: [0.4339846116289793, -0.4339846116289793, -0.28932307441931954, 0.28932307441931954, 0.14466153720965977, -0.14466153720965977, -0.36165384302414944, 0.36165384302414944, -0.5063153802338092, 0.5063153802338092]
[2025-02-12_16-20-02-004] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-20-02-004.wav | Frequencies: [-0.7956384546531288, 0.7956384546531288, -0.28932307441931954, 0.28932307441931954, -0.4339846116289793, 0.4339846116289793, -0.5786461488386391, 0.5786461488386391, -0.36165384302414944, 0.36165384302414944]
[2025-02-12_16-20-07-017] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-20-07-017.wav | Frequencies: [-0.5786461488386391, 0.5786461488386391, -0.7233076860482989, 0.7233076860482989, -0.4339846116289793, 0.4339846116289793, -0.21699230581448964, 0.21699230581448964, 0.36165384302414944, -0.36165384302414944]
[2025-02-12_16-20-12-031] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-20-12-031.wav | Frequencies: [18.73366906865094, -18.73366906865094, 0.28932307441931954, -0.28932307441931954, 0.9402999918627885, -0.9402999918627885, 0.5063153802338092, -0.5063153802338092, -0.36165384302414944, 0.36165384302414944]
[2025-02-12_16-20-17-044] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-20-17-044.wav | Frequencies: [-0.28932307441931954, 0.28932307441931954, 0.7956384546531288, -0.7956384546531288, 1.0126307604676184, -1.0126307604676184, -0.36165384302414944, 0.36165384302414944, -0.5786461488386391, 0.5786461488386391]
[2025-02-12_16-20-22-058] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-20-22-058.wav | Frequencies: [0.36165384302414944, -0.36165384302414944, 0.7956384546531288, -0.7956384546531288, -0.4339846116289793, 0.4339846116289793, -0.28932307441931954, 0.28932307441931954, 0.5063153802338092, -0.5063153802338092]
