[2025-02-14_07-47-48-069] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-14_07-47-48-069.wav | Frequencies: [np.float64(5.207862425634255), np.float64(232.61785501166344), np.float64(522.5221967053037), np.float64(456.55593931393645), np.float64(54.68255546915969), np.float64(2584.835717256469), np.float64(2646.462089293141), np.float64(138.00835427930778), np.float64(1059.800003616571), np.float64(2399.956601146453)] | Type: Normal Sound Range
[2025-02-14_07-48-28-175] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-28-175.wav | Frequencies: [np.float64(6.943816567512341), np.float64(232.61785501166344), np.float64(456.55593931393645), np.float64(119.78083578958788), np.float64(68.57018860418437), np.float64(522.5221967053037), np.float64(718.6850147375274), np.float64(334.1711723115314), np.float64(598.0362018770004), np.float64(282.9605251261279)] | Type: Normal Sound Range
[2025-02-14_07-48-32-572] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-32-572.wav | Frequencies: [np.float64(11.500696189942316), np.float64(0.4339885354695213), np.float64(23.21838664761939), np.float64(34.93607710529647), np.float64(160.14176958825337), np.float64(116.30892750583172), np.float64(203.10663459973597), np.float64(128.02661796350878), np.float64(51.861629988607795), np.float64(74.21203956528815)] | Type: Normal Sound Range
[2025-02-14_07-48-33-210] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-33-210.wav | Frequencies: [np.float64(232.61785501166344), np.float64(5.207862425634255), np.float64(52.9466013272816), np.float64(407.081246270411), np.float64(128.4606064989783), np.float64(522.5221967053037), np.float64(295.98018119021356), np.float64(354.1346449431294), np.float64(453.08403103018026), np.float64(589.3564311676099)] | Type: Normal Sound Range
[2025-02-14_07-48-38-223] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-38-223.wav | Frequencies: [np.float64(232.61785501166344), np.float64(6.943816567512341), np.float64(429.6486501148261), np.float64(59.0224408238549), np.float64(334.1711723115314), np.float64(527.7300591309379), np.float64(118.91285871864883), np.float64(380.17395707130066), np.float64(665.7384134102457), np.float64(290.77231876457927)] | Type: Normal Sound Range
[2025-02-14_07-48-42-026] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-42-026.wav | Frequencies: [np.float64(15.189598741433246), np.float64(1.3019656064085638), np.float64(127.80962369577402), np.float64(115.8749389703622), np.float64(206.14455434802264), np.float64(29.72821467966221), np.float64(164.69864921068333), np.float64(51.64463572087304), np.float64(76.164987974901), np.float64(149.5090504692501)] | Type: Normal Sound Range
[2025-02-14_07-48-43-237] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-43-237.wav | Frequencies: [np.float64(3.4719082837561706), np.float64(232.61785501166344), np.float64(58.15446375291586), np.float64(447.876168604546), np.float64(342.8509430209218), np.float64(522.5221967053037), np.float64(121.51678993146596), np.float64(396.66552141914246), np.float64(669.2103216940019), np.float64(293.3762499773964)] | Type: Normal Sound Range
[2025-02-14_07-48-48-250] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-48-250.wav | Frequencies: [np.float64(3.4719082837561706), np.float64(232.61785501166344), np.float64(394.0615902063254), np.float64(301.1880436158478), np.float64(59.0224408238549), np.float64(522.5221967053037), np.float64(344.5868971627999), np.float64(444.40426032078983), np.float64(118.91285871864883), np.float64(591.092385309488)] | Type: Normal Sound Range
[2025-02-14_07-48-51-783] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-51-783.wav | Frequencies: [np.float64(13.453644599555162), np.float64(0.4339885354695213), np.float64(127.37563516030451), np.float64(33.634111498887904), np.float64(51.42764145313828), np.float64(109.58210520605414), np.float64(74.86302236849242), np.float64(163.8306721397443), np.float64(151.24500461112817), np.float64(62.49434910761107)] | Type: Normal Sound Range
[2025-02-14_07-48-53-264] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-53-264.wav | Frequencies: [np.float64(3.4719082837561706), np.float64(232.61785501166344), np.float64(454.81998517205835), np.float64(123.25274407334406), np.float64(309.8678143252382), np.float64(392.3256360644473), np.float64(71.1741198170015), np.float64(522.5221967053037), np.float64(685.7018860418436), np.float64(755.1400517169672)] | Type: Normal Sound Range
[2025-02-14_07-48-58-277] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-58-277.wav | Frequencies: [np.float64(7.811793638451384), np.float64(232.61785501166344), np.float64(76.38198224263576), np.float64(424.44078768919184), np.float64(333.30319524059234), np.float64(517.3143342796694), np.float64(121.51678993146596), np.float64(286.4324334098841), np.float64(706.5333357443807), np.float64(188.35102439377226)] | Type: Normal Sound Range
[2025-02-14_07-49-01-117] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-49-01-117.wav | Frequencies: [np.float64(12.802661796350879), np.float64(32.98312869568362), np.float64(1.0849713386738034), np.float64(51.64463572087304), np.float64(127.80962369577402), np.float64(112.83701922207554), np.float64(93.95851792915137), np.float64(62.92833764308059), np.float64(207.8805084899007), np.float64(164.48165494294858)] | Type: Normal Sound Range
[2025-02-14_07-49-03-291] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-49-03-291.wav | Frequencies: [np.float64(1.7359541418780853), np.float64(232.61785501166344), np.float64(454.81998517205835), np.float64(522.5221967053037), np.float64(62.49434910761107), np.float64(596.3002477351223), np.float64(279.48861684237175), np.float64(126.72465235710023), np.float64(403.60933798665485), np.float64(755.1400517169672)] | Type: Normal Sound Range
[2025-02-14_07-49-08-305] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-49-08-305.wav | Frequencies: [np.float64(4.339885354695213), np.float64(232.61785501166344), np.float64(75.51400517169671), np.float64(430.5166271857652), np.float64(345.45487423373896), np.float64(120.64881286052693), np.float64(518.1823113506084), np.float64(278.6206397714327), np.float64(567.6570043941339), np.float64(755.1400517169672)] | Type: Normal Sound Range
[2025-02-14_07-49-10-452] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-49-10-452.wav | Frequencies: [np.float64(7.811793638451384), np.float64(19.96347263159798), np.float64(34.06810003435742), np.float64(51.42764145313828), np.float64(127.37563516030451), np.float64(67.05122873004105), np.float64(115.00696189942315), np.float64(207.01253141896166), np.float64(170.3405001717871), np.float64(142.99922243720727)] | Type: Normal Sound Range
[2025-02-14_07-49-13-318] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-49-13-318.wav | Frequencies: [np.float64(3.4719082837561706), np.float64(232.61785501166344), np.float64(326.35937867308), np.float64(522.5221967053037), np.float64(453.9520081011193), np.float64(72.91007395887958), np.float64(125.85667528616118), np.float64(755.1400517169672), np.float64(405.3452921285329), np.float64(592.8283394513661)] | Type: Normal Sound Range
[2025-02-14_07-49-18-332] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-49-18-332.wav | Frequencies: [np.float64(6.075839496573298), np.float64(232.61785501166344), np.float64(315.0756767508725), np.float64(81.58984466827), np.float64(452.2160539592412), np.float64(522.5221967053037), np.float64(124.98869821522214), np.float64(755.1400517169672), np.float64(388.8537277806911), np.float64(186.61507025189417)] | Type: Normal Sound Range
[2025-02-14_07-49-19-686] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-49-19-686.wav | Frequencies: [np.float64(18.661507025189415), np.float64(70.95712554926673), np.float64(87.01470136163903), np.float64(103.07227717401132), np.float64(0.8679770709390426), np.float64(33.851105766622666), np.float64(51.42764145313828), np.float64(126.07366955389594), np.float64(114.57297336395362), np.float64(142.99922243720727)] | Type: Normal Sound Range
[2025-02-14_07-53-36-087] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-14_07-53-36-087.wav | Frequencies: [np.float64(231.7498779407244), np.float64(4.339885354695213), np.float64(522.5221967053037), np.float64(415.7610169798014), np.float64(60.75839496573298), np.float64(121.51678993146596), np.float64(718.6850147375274), np.float64(468.707618307083), np.float64(1045.9123704815463), np.float64(1102.330880092584)] | Type: Normal Sound Range
[2025-02-14_07-55-09-669] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-14_07-55-09-669.wav | Frequencies: [np.float64(5.207862425634255), np.float64(231.7498779407244), np.float64(443.5362832498508), np.float64(522.5221967053037), np.float64(55.55053254009873), np.float64(122.38476700240501), np.float64(184.01113903907705), np.float64(754.272074646028), np.float64(901.8281767056653), np.float64(2578.7598777598955)] | Type: Normal Sound Range
[2025-02-14_07-56-11-322] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-14_07-56-11-322.wav | Frequencies: [np.float64(57.9374694851811), np.float64(0.8679770709390426), np.float64(21.265438238006546), np.float64(130.63054917632593), np.float64(77.68394784904432), np.float64(105.45921411909369), np.float64(119.34684725411836), np.float64(147.773096327372), np.float64(32.33214589247934), np.float64(188.568018661507)] | Type: Normal Sound Range
[2025-02-14_07-58-20-153] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-14_07-58-20-153.wav | Frequencies: [np.float64(1.5189598741433246), np.float64(130.63054917632593), np.float64(18.227518489719895), np.float64(111.9690421511365), np.float64(149.72604473698485), np.float64(50.55966438219923), np.float64(29.51122041192745), np.float64(176.85032820382995), np.float64(100.03435742572466), np.float64(161.22674092692716)] | Type: Normal Sound Range
[2025-02-14_07-59-08-875] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-14_07-59-08-875.wav | Frequencies: [np.float64(1.5189598741433246), np.float64(20.180466899332743), np.float64(130.63054917632593), np.float64(586.3185114193233), np.float64(234.57080342127628), np.float64(463.4997558814488), np.float64(55.116544004629205), np.float64(700.4574962478074), np.float64(113.27100775754506), np.float64(688.5228115223956)] | Type: Normal Sound Range
