[2025-02-12_13-20-12-028] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-20-12-028.wav
[2025-02-12_13-23-52-658] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-52-658.wav
[2025-02-12_13-23-57-714] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-57-714.wav
[2025-02-12_13-24-02-770] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-02-770.wav
[2025-02-12_13-24-07-826] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-07-826.wav
[2025-02-12_13-24-12-883] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-12-883.wav
[2025-02-12_13-24-17-939] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-17-939.wav
[2025-02-12_13-24-22-995] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-22-995.wav
[2025-02-12_13-24-28-051] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-28-051.wav
[2025-02-12_13-24-33-107] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-33-107.wav
[2025-02-12_13-24-38-163] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-38-163.wav
[2025-02-12_13-24-43-219] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-43-219.wav
[2025-02-12_13-24-48-276] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-48-276.wav
[2025-02-12_13-24-53-332] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-53-332.wav
[2025-02-12_13-24-58-388] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-24-58-388.wav
[2025-02-12_13-25-03-444] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-03-444.wav
[2025-02-12_13-25-08-500] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-08-500.wav
[2025-02-12_13-25-13-556] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-13-556.wav
[2025-02-12_13-25-18-613] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-18-613.wav
[2025-02-12_13-25-23-669] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-23-669.wav
[2025-02-12_13-25-28-725] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-28-725.wav
[2025-02-12_13-25-33-781] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-33-781.wav
[2025-02-12_13-25-38-837] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-38-837.wav
[2025-02-12_13-25-43-893] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-43-893.wav
[2025-02-12_13-25-48-950] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-48-950.wav
[2025-02-12_13-25-54-006] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-54-006.wav
[2025-02-12_13-25-59-062] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-25-59-062.wav
[2025-02-12_13-26-04-118] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-04-118.wav
[2025-02-12_13-26-09-174] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-09-174.wav
[2025-02-12_13-26-14-230] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-14-230.wav
[2025-02-12_13-26-19-286] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-19-286.wav
[2025-02-12_13-26-24-342] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-24-342.wav
[2025-02-12_13-26-29-399] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-29-399.wav
[2025-02-12_13-26-34-454] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-34-454.wav
[2025-02-12_13-26-39-510] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-39-510.wav
[2025-02-12_13-26-44-567] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-44-567.wav
[2025-02-12_13-26-49-623] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-49-623.wav
[2025-02-12_13-26-54-679] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-54-679.wav
[2025-02-12_13-26-59-736] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-26-59-736.wav
[2025-02-12_13-27-04-792] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-27-04-792.wav
[2025-02-12_13-27-09-848] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-27-09-848.wav
[2025-02-12_13-27-14-904] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-27-14-904.wav
[2025-02-12_13-27-19-960] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-27-19-960.wav
[2025-02-12_13-27-25-016] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-27-25-016.wav
[2025-02-12_13-27-30-072] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-27-30-072.wav
[2025-02-12_13-27-35-128] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-27-35-128.wav
[2025-02-12_13-27-40-185] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-27-40-185.wav
[2025-02-12_13-27-45-241] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-27-45-241.wav
[2025-02-12_13-27-50-297] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-27-50-297.wav
[2025-02-12_13-27-55-353] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-27-55-353.wav
[2025-02-12_13-28-00-409] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-00-409.wav
[2025-02-12_13-28-05-465] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-05-465.wav
[2025-02-12_13-28-10-521] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-10-521.wav
[2025-02-12_13-28-15-577] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-15-577.wav
[2025-02-12_13-28-20-634] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-20-634.wav
[2025-02-12_13-28-25-690] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-25-690.wav
[2025-02-12_13-28-30-746] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-30-746.wav
[2025-02-12_13-28-35-802] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-35-802.wav
[2025-02-12_13-28-40-858] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-40-858.wav
[2025-02-12_13-28-45-914] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-45-914.wav
[2025-02-12_13-28-50-970] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-50-970.wav
[2025-02-12_13-28-56-026] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-28-56-026.wav
[2025-02-12_13-29-01-083] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-01-083.wav
[2025-02-12_13-29-06-139] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-06-139.wav
[2025-02-12_13-29-11-195] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-11-195.wav
[2025-02-12_13-29-16-251] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-16-251.wav
[2025-02-12_13-29-21-307] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-21-307.wav
[2025-02-12_13-29-26-363] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-26-363.wav
[2025-02-12_13-29-31-419] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-31-419.wav
[2025-02-12_13-29-36-475] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-36-475.wav
[2025-02-12_13-29-41-532] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-41-532.wav
[2025-02-12_13-29-46-587] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-46-587.wav
[2025-02-12_13-29-51-644] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-51-644.wav
[2025-02-12_13-29-56-700] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-29-56-700.wav
[2025-02-12_13-30-01-756] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-01-756.wav
[2025-02-12_13-30-06-812] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-06-812.wav
[2025-02-12_13-30-11-868] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-11-868.wav
[2025-02-12_13-30-16-924] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-16-924.wav
[2025-02-12_13-30-21-980] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-21-980.wav
[2025-02-12_13-30-27-037] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-27-037.wav
[2025-02-12_13-30-32-093] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-32-093.wav
[2025-02-12_13-30-37-149] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-37-149.wav
[2025-02-12_13-30-42-205] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-42-205.wav
[2025-02-12_13-30-47-261] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-47-261.wav
[2025-02-12_13-30-52-317] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-52-317.wav
[2025-02-12_13-30-57-373] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-30-57-373.wav
[2025-02-12_13-31-02-430] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-02-430.wav
[2025-02-12_13-31-07-486] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-07-486.wav
[2025-02-12_13-31-12-542] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-12-542.wav
[2025-02-12_13-31-17-598] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-17-598.wav
[2025-02-12_13-31-22-654] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-22-654.wav
[2025-02-12_13-31-27-710] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-27-710.wav
[2025-02-12_13-31-32-766] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-32-766.wav
[2025-02-12_13-31-37-822] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-37-822.wav
[2025-02-12_13-31-42-878] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-42-878.wav
[2025-02-12_13-31-47-935] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-47-935.wav
[2025-02-12_13-31-52-991] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-52-991.wav
[2025-02-12_13-31-58-047] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-31-58-047.wav
[2025-02-12_13-32-03-103] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-03-103.wav
[2025-02-12_13-32-08-159] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-08-159.wav
[2025-02-12_13-32-13-215] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-13-215.wav
[2025-02-12_13-32-18-271] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-18-271.wav
[2025-02-12_13-32-23-327] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-23-327.wav
[2025-02-12_13-32-28-383] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-28-383.wav
[2025-02-12_13-32-33-440] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-33-440.wav
[2025-02-12_13-32-38-496] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-38-496.wav
[2025-02-12_13-32-43-552] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-43-552.wav
[2025-02-12_13-32-48-608] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-48-608.wav
[2025-02-12_13-32-53-664] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-53-664.wav
[2025-02-12_13-32-58-720] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-32-58-720.wav
[2025-02-12_13-33-03-776] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-03-776.wav
[2025-02-12_13-33-08-832] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-08-832.wav
[2025-02-12_13-33-13-888] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-13-888.wav
[2025-02-12_13-33-18-945] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-18-945.wav
[2025-02-12_13-33-24-001] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-24-001.wav
[2025-02-12_13-33-29-057] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-29-057.wav
[2025-02-12_13-33-34-113] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-34-113.wav
[2025-02-12_13-33-39-169] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-39-169.wav
[2025-02-12_13-33-44-225] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-44-225.wav
[2025-02-12_13-33-49-281] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-49-281.wav
[2025-02-12_13-33-54-337] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-54-337.wav
[2025-02-12_13-33-59-393] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-33-59-393.wav
[2025-02-12_13-34-04-450] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-34-04-450.wav
[2025-02-12_13-34-09-506] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-34-09-506.wav
[2025-02-12_13-34-14-562] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-34-14-562.wav
[2025-02-12_13-34-19-618] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-34-19-618.wav
[2025-02-12_13-34-24-674] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-34-24-674.wav
[2025-02-12_13-34-29-730] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-34-29-730.wav
[2025-02-12_13-34-34-786] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-34-34-786.wav
[2025-02-12_13-34-39-842] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-34-39-842.wav
[2025-02-12_13-34-44-898] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-34-44-898.wav
[2025-02-12_13-34-49-954] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-34-49-954.wav
[2025-02-12_13-34-55-011] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-34-55-011.wav
[2025-02-12_13-35-00-066] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-00-066.wav
[2025-02-12_13-35-05-123] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-05-123.wav
[2025-02-12_13-35-10-179] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-10-179.wav
[2025-02-12_13-35-15-235] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-15-235.wav
[2025-02-12_13-35-20-291] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-20-291.wav
[2025-02-12_13-35-25-347] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-25-347.wav
[2025-02-12_13-35-30-403] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-30-403.wav
[2025-02-12_13-35-35-459] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-35-459.wav
[2025-02-12_13-35-40-516] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-40-516.wav
[2025-02-12_13-35-45-572] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-45-572.wav
[2025-02-12_13-35-50-628] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-50-628.wav
[2025-02-12_13-35-55-684] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-35-55-684.wav
[2025-02-12_13-36-00-740] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-00-740.wav
[2025-02-12_13-36-05-796] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-05-796.wav
[2025-02-12_13-36-10-852] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-10-852.wav
[2025-02-12_13-36-15-908] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-15-908.wav
[2025-02-12_13-36-20-964] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-20-964.wav
[2025-02-12_13-36-26-020] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-26-020.wav
[2025-02-12_13-36-31-077] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-31-077.wav
[2025-02-12_13-36-36-133] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-36-133.wav
[2025-02-12_13-36-41-189] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-41-189.wav
[2025-02-12_13-36-46-245] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-46-245.wav
[2025-02-12_13-36-51-301] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-51-301.wav
[2025-02-12_13-36-56-357] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-36-56-357.wav
