[2025-02-13_09-26-29-299] Confidence: 0.90 | Text: hello | Audio: audio_logs1/speech_2025-02-13_09-26-29-299.wav | Frequencies: [np.float64(0.7956456483607892), np.float64(45.93045333719101), np.float64(18.589175602611167), np.float64(34.86374568271822), np.float64(6.29283376430806), np.float64(70.37847416864072), np.float64(197.681777906367), np.float64(180.6838936004774), np.float64(92.72888374532107), np.float64(49.54702446610369)] | Type: Normal Sound Range
[2025-02-13_09-27-59-582] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-27-59-582.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(44.33916204046943), np.float64(18.733838447767674), np.float64(3.978228241803946), np.float64(89.47396972929965), np.float64(7.811793638451385), np.float64(74.1397081427099), np.float64(33.70644292146616), np.float64(52.44028136923383), np.float64(26.690294931375565)] | Type: Normal Sound Range
[2025-02-13_09-28-04-619] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-28-04-619.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(44.33916204046943), np.float64(4.701542467586481), np.float64(18.733838447767674), np.float64(9.764742048064232), np.float64(68.85951429449739), np.float64(89.69096399703442), np.float64(61.047720656046), np.float64(33.70644292146616), np.float64(53.814578398220654)] | Type: Normal Sound Range
[2025-02-13_09-28-09-633] Confidence: 0.90 | Text: remind me to talk | Audio: audio_logs1/speech_2025-02-13_09-28-09-633.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(44.26683061789118), np.float64(4.918536735321243), np.float64(18.733838447767674), np.float64(8.53510786423392), np.float64(53.018932749859864), np.float64(60.68606354315474), np.float64(12.224010415724852), np.float64(26.97962062168858), np.float64(69.22117140738865)] | Type: Normal Sound Range
[2025-02-13_09-28-14-648] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-28-14-648.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(44.26683061789118), np.float64(18.806169870345926), np.float64(4.195222509538707), np.float64(8.028787906186146), np.float64(75.80333086200973), np.float64(50.55966438219924), np.float64(59.89041789479395), np.float64(71.24645123957976), np.float64(33.70644292146616)] | Type: Normal Sound Range
[2025-02-13_09-28-19-664] Confidence: 0.90 | Text: what's your name off living room television | Audio: audio_logs1/speech_2025-02-13_09-28-19-664.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(44.33916204046943), np.float64(18.806169870345926), np.float64(4.918536735321243), np.float64(86.65304424874776), np.float64(12.224010415724852), np.float64(60.32440643026347), np.float64(50.487332959620986), np.float64(33.778774344044415), np.float64(68.28086291387136)] | Type: Normal Sound Range
[2025-02-13_09-28-24-678] Confidence: 0.90 | Text: set a timer for 7 | Audio: audio_logs1/speech_2025-02-13_09-28-24-678.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(45.85812191461276), np.float64(18.806169870345926), np.float64(6.871485144934089), np.float64(26.545632086219058), np.float64(36.238042711705035), np.float64(68.78718287191914), np.float64(22.92906095730638), np.float64(73.85038245239689), np.float64(13.525976022133417)] | Type: Normal Sound Range
[2025-02-13_09-28-29-692] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-28-29-692.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(45.85812191461276), np.float64(4.484548199851721), np.float64(18.733838447767674), np.float64(10.56038769642502), np.float64(33.70644292146616), np.float64(27.124283466845085), np.float64(51.21064718540352), np.float64(58.8777779786984), np.float64(68.20853149129312)] | Type: Normal Sound Range
[2025-02-13_09-28-34-707] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-28-34-707.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(45.78579049203451), np.float64(18.733838447767674), np.float64(4.122891086960453), np.float64(23.218386647619393), np.float64(74.50136525560117), np.float64(7.884125061029638), np.float64(27.124283466845085), np.float64(64.9536174752717), np.float64(59.89041789479395)] | Type: Normal Sound Range
[2025-02-13_09-28-39-722] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-28-39-722.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(45.78579049203451), np.float64(18.733838447767674), np.float64(6.29283376430806), np.float64(26.039312128171282), np.float64(68.85951429449739), np.float64(59.23943509158967), np.float64(51.7169671434513), np.float64(33.634111498887904), np.float64(87.08703278421729)] | Type: Normal Sound Range
[2025-02-13_09-28-44-737] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-28-44-737.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(45.78579049203451), np.float64(18.87850129292418), np.float64(4.412216777273468), np.float64(24.086363718558438), np.float64(56.05685249814651), np.float64(89.47396972929965), np.float64(9.54774778032947), np.float64(50.92132149509051), np.float64(68.85951429449739)] | Type: Normal Sound Range
[2025-02-13_09-28-49-752] Confidence: 0.90 | Text: directions | Audio: audio_logs1/speech_2025-02-13_09-28-49-752.wav | Frequencies: [np.float64(0.506319958047775), np.float64(45.78579049203451), np.float64(18.806169870345926), np.float64(4.701542467586481), np.float64(27.124283466845085), np.float64(23.218386647619393), np.float64(52.729607059546844), np.float64(89.47396972929965), np.float64(10.922044809316288), np.float64(63.723983291441385)] | Type: Normal Sound Range
[2025-02-13_09-28-54-788] Confidence: 0.90 | Text: set alarm at 10:00 p.m. | Audio: audio_logs1/speech_2025-02-13_09-28-54-788.wav | Frequencies: [np.float64(0.7233142257825356), np.float64(45.78579049203451), np.float64(4.556879622429975), np.float64(18.733838447767674), np.float64(24.52035225402796), np.float64(28.136923382940637), np.float64(54.24856693369017), np.float64(68.35319433644962), np.float64(33.634111498887904), np.float64(50.270338691886224)] | Type: Normal Sound Range
[2025-02-13_09-28-59-802] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-28-59-802.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(45.71345906945625), np.float64(18.733838447767674), np.float64(4.701542467586481), np.float64(25.96698070559303), np.float64(33.56178007630965), np.float64(68.35319433644962), np.float64(10.777381964159781), np.float64(59.601092204480935), np.float64(75.3693423265402)] | Type: Normal Sound Range
[2025-02-13_09-29-04-817] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-29-04-817.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(25.60532359270176), np.float64(45.71345906945625), np.float64(21.554763928319563), np.float64(4.629211045008228), np.float64(49.54702446610369), np.float64(54.10390408853367), np.float64(17.86586137682863), np.float64(30.234534637709988), np.float64(36.16571128912678)] | Type: Normal Sound Range
[2025-02-13_09-29-09-833] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-29-09-833.wav | Frequencies: [np.float64(0.650982803204282), np.float64(45.71345906945625), np.float64(18.806169870345926), np.float64(6.582159454621074), np.float64(33.634111498887904), np.float64(61.337046346359024), np.float64(10.56038769642502), np.float64(52.8019384821251), np.float64(72.62074826856657), np.float64(68.35319433644962)] | Type: Normal Sound Range
[2025-02-13_09-29-14-847] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-29-14-847.wav | Frequencies: [np.float64(0.650982803204282), np.float64(45.78579049203451), np.float64(18.806169870345926), np.float64(5.858845228838539), np.float64(24.086363718558438), np.float64(59.8180864722157), np.float64(10.488056273846766), np.float64(33.634111498887904), np.float64(51.21064718540352), np.float64(87.08703278421729)] | Type: Normal Sound Range
[2025-02-13_09-29-19-861] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-29-19-861.wav | Frequencies: [np.float64(0.506319958047775), np.float64(45.78579049203451), np.float64(18.806169870345926), np.float64(4.339885354695213), np.float64(24.37568940887145), np.float64(33.70644292146616), np.float64(10.849713386738035), np.float64(68.28086291387136), np.float64(54.17623551111192), np.float64(29.65588325708396)] | Type: Normal Sound Range
[2025-02-13_09-29-24-869] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-29-24-869.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(5.641850961103778), np.float64(44.26683061789118), np.float64(18.733838447767674), np.float64(89.32930688414315), np.float64(9.692410625485977), np.float64(48.7513788177429), np.float64(13.59830744471167), np.float64(34.646751414983456), np.float64(68.85951429449739)] | Type: Normal Sound Range
[2025-02-13_09-29-29-877] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-29-29-877.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(44.19449919531293), np.float64(18.733838447767674), np.float64(6.799153722355835), np.float64(48.679047395164645), np.float64(33.634111498887904), np.float64(54.46556120142493), np.float64(61.48170919151553), np.float64(68.85951429449739), np.float64(22.350409576680352)] | Type: Normal Sound Range
[2025-02-13_09-29-34-886] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-29-34-886.wav | Frequencies: [np.float64(0.506319958047775), np.float64(44.19449919531293), np.float64(18.733838447767674), np.float64(5.28019384821251), np.float64(48.679047395164645), np.float64(9.981736315798992), np.float64(33.634111498887904), np.float64(53.091264172438116), np.float64(59.8180864722157), np.float64(87.08703278421729)] | Type: Normal Sound Range
[2025-02-13_09-29-39-917] Confidence: 0.90 | Text: play music at 5% brightness | Audio: audio_logs1/speech_2025-02-13_09-29-39-917.wav | Frequencies: [np.float64(0.7233142257825356), np.float64(44.12216777273467), np.float64(18.806169870345926), np.float64(4.412216777273468), np.float64(8.245782173920906), np.float64(73.0547368040361), np.float64(33.634111498887904), np.float64(68.28086291387136), np.float64(52.729607059546844), np.float64(48.679047395164645)] | Type: Normal Sound Range
[2025-02-13_09-29-44-926] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-29-44-926.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(44.19449919531293), np.float64(18.87850129292418), np.float64(4.412216777273468), np.float64(8.028787906186146), np.float64(26.18397497332779), np.float64(80.14321621670494), np.float64(58.58845228838538), np.float64(53.886909820798905), np.float64(89.03998119383013)] | Type: Normal Sound Range
[2025-02-13_09-29-49-936] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-29-49-936.wav | Frequencies: [np.float64(0.650982803204282), np.float64(44.12216777273467), np.float64(6.220502341729806), np.float64(17.86586137682863), np.float64(12.007016147990091), np.float64(35.22540279560948), np.float64(28.715574763566664), np.float64(21.482432505741308), np.float64(60.25207500768522), np.float64(52.8019384821251)] | Type: Normal Sound Range
[2025-02-13_09-29-54-946] Confidence: 0.90 | Text: set timer | Audio: audio_logs1/speech_2025-02-13_09-29-54-946.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(6.943816567512342), np.float64(44.19449919531293), np.float64(18.806169870345926), np.float64(24.737346521762717), np.float64(33.851105766622666), np.float64(12.441004683459612), np.float64(68.28086291387136), np.float64(86.65304424874776), np.float64(77.68394784904433)] | Type: Normal Sound Range
[2025-02-13_09-29-59-957] Confidence: 0.90 | Text: play jazz music on | Audio: audio_logs1/speech_2025-02-13_09-29-59-957.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(44.12216777273467), np.float64(6.509828032042821), np.float64(18.806169870345926), np.float64(26.40096924106255), np.float64(48.679047395164645), np.float64(10.488056273846766), np.float64(59.52876078190268), np.float64(68.28086291387136), np.float64(54.32089835626842)] | Type: Normal Sound Range
[2025-02-13_09-30-04-968] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-30-04-968.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(44.04983635015642), np.float64(6.437496609464567), np.float64(18.806169870345926), np.float64(24.665015099184465), np.float64(10.126399160955499), np.float64(48.679047395164645), np.float64(36.74436266975281), np.float64(82.96414169725684), np.float64(60.541400697998235)] | Type: Normal Sound Range
[2025-02-13_09-30-09-979] Confidence: 0.90 | Text: what's the temperature tomorrow at 8 | Audio: audio_logs1/speech_2025-02-13_09-30-09-979.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(44.04983635015642), np.float64(6.871485144934089), np.float64(18.87850129292418), np.float64(24.231026563714945), np.float64(33.56178007630965), np.float64(59.8180864722157), np.float64(48.679047395164645), np.float64(87.08703278421729), np.float64(73.92271387497514)] | Type: Normal Sound Range
[2025-02-13_09-30-14-990] Confidence: 0.90 | Text: hey Google | Audio: audio_logs1/speech_2025-02-13_09-30-14-990.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(43.97750492757817), np.float64(18.806169870345926), np.float64(24.231026563714945), np.float64(4.26755393211696), np.float64(33.56178007630965), np.float64(9.403084935172963), np.float64(52.00629283376431), np.float64(72.62074826856657), np.float64(60.613732120576486)] | Type: Normal Sound Range
[2025-02-13_09-30-20-001] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-30-20-001.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(43.97750492757817), np.float64(18.66150702518942), np.float64(4.629211045008228), np.float64(24.014032295980183), np.float64(37.6846711632701), np.float64(8.607439286812173), np.float64(61.047720656046), np.float64(49.76401873383845), np.float64(33.56178007630965)] | Type: Normal Sound Range
[2025-02-13_09-30-25-013] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-30-25-013.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(43.97750492757817), np.float64(4.701542467586481), np.float64(18.589175602611167), np.float64(23.941700873401928), np.float64(39.492956727726444), np.float64(48.679047395164645), np.float64(68.49785718160612), np.float64(87.15936420679554), np.float64(52.946601327281606)] | Type: Normal Sound Range
[2025-02-13_09-30-30-046] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-30-30-046.wav | Frequencies: [np.float64(0.7233142257825356), np.float64(6.437496609464567), np.float64(43.905173504999915), np.float64(18.516844180032912), np.float64(23.941700873401928), np.float64(12.007016147990091), np.float64(53.018932749859864), np.float64(68.57018860418438), np.float64(37.6846711632701), np.float64(48.679047395164645)] | Type: Normal Sound Range
[2025-02-13_09-30-35-058] Confidence: 0.90 | Text: play | Audio: audio_logs1/speech_2025-02-13_09-30-35-058.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(43.905173504999915), np.float64(18.516844180032912), np.float64(26.473300663640803), np.float64(4.773873890164735), np.float64(82.67481600694383), np.float64(76.09265655232275), np.float64(33.56178007630965), np.float64(49.76401873383845), np.float64(8.969096399703442)] | Type: Normal Sound Range
[2025-02-13_09-30-40-070] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-30-40-070.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(43.905173504999915), np.float64(18.516844180032912), np.float64(5.352525270790764), np.float64(28.06459196036238), np.float64(54.10390408853367), np.float64(89.69096399703442), np.float64(9.837073470642485), np.float64(48.679047395164645), np.float64(60.68606354315474)] | Type: Normal Sound Range
[2025-02-13_09-30-45-083] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-30-45-083.wav | Frequencies: [np.float64(0.506319958047775), np.float64(43.905173504999915), np.float64(18.516844180032912), np.float64(4.195222509538707), np.float64(7.884125061029638), np.float64(31.030180286070777), np.float64(60.03508073995046), np.float64(73.27173107177086), np.float64(49.40236162094718), np.float64(35.15307137303123)] | Type: Normal Sound Range
[2025-02-13_09-30-50-095] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-30-50-095.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(43.97750492757817), np.float64(18.66150702518942), np.float64(6.943816567512342), np.float64(31.030180286070777), np.float64(48.679047395164645), np.float64(53.16359559501637), np.float64(12.368673260881359), np.float64(60.83072638831125), np.float64(496.98920453518025)] | Type: Normal Sound Range
[2025-02-13_09-30-55-107] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-30-55-107.wav | Frequencies: [np.float64(0.650982803204282), np.float64(43.905173504999915), np.float64(6.943816567512342), np.float64(18.66150702518942), np.float64(31.030180286070777), np.float64(12.296341838303105), np.float64(54.39322977884668), np.float64(68.42552575902786), np.float64(48.679047395164645), np.float64(22.784398112149873)] | Type: Normal Sound Range
[2025-02-13_09-31-00-122] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-31-00-122.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(43.905173504999915), np.float64(18.733838447767674), np.float64(31.030180286070777), np.float64(6.726822299777582), np.float64(53.018932749859864), np.float64(48.679047395164645), np.float64(73.85038245239689), np.float64(66.76190303972804), np.float64(39.34829388256994)] | Type: Normal Sound Range
[2025-02-13_09-31-05-133] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-31-05-133.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(45.78579049203451), np.float64(6.29283376430806), np.float64(18.733838447767674), np.float64(31.102511708649033), np.float64(59.89041789479395), np.float64(54.10390408853367), np.float64(72.40375400083181), np.float64(49.619355888681945), np.float64(88.1720041228911)] | Type: Normal Sound Range
[2025-02-13_09-31-10-146] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-31-10-146.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(45.78579049203451), np.float64(18.733838447767674), np.float64(6.148170919151553), np.float64(33.634111498887904), np.float64(11.645359035098824), np.float64(49.691687311260196), np.float64(69.87215421059294), np.float64(59.8180864722157), np.float64(74.79069094591418)] | Type: Normal Sound Range
[2025-02-13_09-31-15-159] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-31-15-159.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(45.78579049203451), np.float64(4.918536735321243), np.float64(18.66150702518942), np.float64(33.778774344044415), np.float64(72.47608542341007), np.float64(50.487332959620986), np.float64(9.909404893220739), np.float64(54.537892624003184), np.float64(29.945208947396974)] | Type: Normal Sound Range
[2025-02-13_09-31-20-193] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-31-20-193.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(45.78579049203451), np.float64(33.778774344044415), np.float64(4.990868157899496), np.float64(18.733838447767674), np.float64(10.126399160955499), np.float64(53.886909820798905), np.float64(76.09265655232275), np.float64(68.35319433644962), np.float64(89.18464403898665)] | Type: Normal Sound Range
[2025-02-13_09-31-25-206] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-31-25-206.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(45.78579049203451), np.float64(33.778774344044415), np.float64(18.806169870345926), np.float64(7.088479412668849), np.float64(12.079347570568345), np.float64(49.76401873383845), np.float64(73.77805102981863), np.float64(80.28787906186146), np.float64(53.66991555306414)] | Type: Normal Sound Range
[2025-02-13_10-06-05-823] Confidence: 0.90 | Text: what did Stephanie bothered do | Audio: audio_logs1/speech_2025-02-13_10-06-05-823.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(46.00278475976926), np.float64(74.50136525560117), np.float64(41.5905679824958), np.float64(34.71908283756171), np.float64(91.93323809696028), np.float64(69.07650856223215), np.float64(24.086363718558438), np.float64(78.1902678070921), np.float64(18.66150702518942)] | Type: Normal Sound Range
