Timestamp,Vosk Raw,Vosk Phase,Vosk AM,Vosk FM,Vosk SSB,Sphinx Raw,Sphinx Phase,Sphinx AM,Sphinx FM,Sphinx SSB,Frequencies (Hz)
2025-05-04 20:29:22,"{
  ""text"" : """"
2025-05-04 20:57:55,, I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen. I'm going to put it in the middle of the screen., I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room. I'm going to have to go back to the room., I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room.,,"27.8, 26.7, 24.9, 8.9, 16.6, 16.5, 27.8, 8.9, 16.6, 25.0"
2025-05-04 20:58:37,, I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side.,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"5.3, 11.4, 8.1, 26.4, 12.0, 26.3, 12.6, 12.2, 16.1, 16.2"
2025-05-04 20:59:42, I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side.,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing., I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side.,"11.1, 15.9, 4.2, 15.6, 11.6, 16.1, 11.5, 10.6, 11.9, 12.1"
2025-05-04 21:00:17,, I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side.,, I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one.,,"9.1, 9.4, 15.1, 8.4, 15.0, 8.3, 7.0, 7.1, 15.1, 15.0"
2025-05-04 21:02:14, I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side.,, I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side.,, I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side.,"10.3, 11.7, 15.6, 15.5, 7.4, 18.2, 6.4, 18.0, 19.2, 18.0"
2025-05-04 21:07:43," How are you? 7, 8, 9, 10. Hello? Hello?"," How are you? 7, 8, 9, 10. Hello.", I'm going to start. See how the open water deals. Yeah? Nihau? I'm..., I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to just give this method another one.," How are you? 7, 8, 9, 10. Hello? Hello?","137.1, 152.9, 138.5, 137.0, 153.0, 143.0, 138.6, 138.8, 138.7, 142.6"
2025-05-04 21:09:00, I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know., I don't know. I don't know. I don't know. I don't see how much I remember., I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side. I'm going to go to the other side., I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one., So as you notice,"11.5, 16.4, 9.9, 13.3, 12.0, 11.7, 12.8, 15.9, 11.6, 12.3"
2025-05-04 21:09:13,,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"11.7, 10.1, 16.1, 10.2, 12.4, 16.0, 11.8, 12.0, 16.2, 12.4"
2025-05-04 21:10:12,,, I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room., I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"11.2, 12.0, 12.6, 10.6, 12.1, 9.9, 11.8, 12.4, 12.5, 11.7"
2025-05-04 21:10:32, Pretty sure there's no ocean around me and I'm on dry land., Pretty sure there's no ocean around me and I'm on dry land., okay,, Pretty sure there's no ocean around me and I'm on dry land.,"84.0, 82.1, 84.0, 81.9, 82.1, 82.0, 81.9, 82.1, 82.0, 82.0"
2025-05-04 21:12:17," What is the wall of the lane? Who was the nice one? You'reincome, everyone. How do we get dirt on your team's path? Atoppoppen was a dirty car.", Everyone who buy what is the wall of the lane?," 1 Where won ... you buy some. Everyone, you back.", I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing., What is the wall of the lane? ...,"110.7, 100.8, 110.5, 109.3, 109.5, 110.7, 109.1, 109.0, 109.4, 109.2"
2025-05-04 21:13:14," I haven't deleted my constitutional rights, you psyched fam. It's the law of the land."," I haven't deleted my constitutional rights, you psyched fam. It's the law of the land.",,," I haven't deleted my constitutional rights, you psyched fam. It's the law of the land.","79.8, 80.4, 83.8, 85.0, 85.0, 86.8, 85.1, 79.8, 79.9, 83.7"
2025-05-04 21:13:25," I've deleted my constitutional rights. Shovu, they're charter. Stop interfering with my microphone feed."," Waited my constitutional rights, shall we? They're charter. Stop interfering with my microphone feed.", So this roughly observation right on Thats your subject. can, I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side. I'm going to use the same method as the other side.," I've deleted my constitutional rights. Shovu, they're charter. Stop interfering with my microphone feed.","88.1, 86.8, 88.1, 88.3, 87.0, 88.5, 86.8, 88.3, 87.1, 87.0"
2025-05-04 21:14:00, me is the AfD What are you smoking?, What are you smoking? Discards.,,, share those,"6.1, 17.0, 13.2, 19.5, 16.6, 23.0, 11.9, 14.0, 17.9, 15.8"
2025-05-04 21:15:20," I honestly, have you been smoking spirit?"," I honestly, have you been smoking spirit?",, I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use the same method as the other one. I'm going to use direct shift this side. direct shift this side. direct shift of turn two. direct shift of turn two. direct shift hopeless blend faster. direct shift designing ups open. direct shift Thousands a 32 Str singles. direct FAREAR Hz trans2 amplitude.," I honestly, have you been smoking spirit?","94.1, 92.7, 94.2, 105.1, 105.1, 105.1, 92.7, 94.2, 94.1, 94.1"
2025-05-04 21:16:41, I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room.,, I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room., I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing., I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room.,"27.5, 34.5, 18.0, 25.1, 12.4, 19.3, 21.9, 15.2, 19.6, 19.5"
